date,temp_avg,temp_min,temp_max,precipitation,solar_radiation,clearness_index
1994-01-01,-0.8,-5.9,5.6,0.0,2.7142,
1994-01-02,-1.1,-5.9,4.5,0.0,1.1789,
1994-01-03,2.8,-2.8,8.1,0.0,2.7631,
1994-01-04,1.3,-4.9,6.6,0.0,2.7211,
1994-01-05,0.1,-4.2,3.4,0.0,2.1257,
1994-01-06,1.9,-0.8,5.4,0.0,2.484,
1994-01-07,-1.9,-6.8,4.0,0.0,2.4564,
1994-01-08,0.5,-5.2,6.6,0.0,2.2471,
1994-01-09,1.2,-3.6,5.4,0.0,1.9692,
1994-01-10,-0.6,-3.3,5.2,0.0,2.4811,
1994-01-11,-3.9,-5.5,-1.8,0.0,1.6133,
1994-01-12,-0.9,-7.1,6.0,0.0,2.609,
1994-01-13,-4.8,-7.8,2.2,0.0,1.9207,
1994-01-14,-2.5,-5.8,-0.9,0.0,1.4095,
1994-01-15,-1.2,-2.3,2.0,0.0,1.7198,
1994-01-16,1.1,-2.4,6.1,0.0,1.433,
1994-01-17,-3.2,-5.4,1.0,0.0,2.405,
1994-01-18,-6.9,-10.6,-2.2,0.0,3.0792,
1994-01-19,-6.0,-11.5,1.5,0.0,2.9585,
1994-01-20,-3.5,-7.0,-0.4,0.0,2.8997,
1994-01-21,0.9,-3.6,5.1,0.0,2.9911,
1994-01-22,1.8,-0.9,7.2,0.0,3.1325,
1994-01-23,-4.8,-9.7,0.7,0.0,3.1332,
1994-01-24,-2.9,-8.3,4.0,0.0,3.0713,
1994-01-25,-2.5,-5.7,1.3,0.0,1.4496,
1994-01-26,-2.1,-6.2,4.1,0.0,3.2542,
1994-01-27,-4.3,-7.5,-1.0,0.0,1.5905,
1994-01-28,-0.7,-4.3,3.8,0.0,3.4358,
1994-01-29,-2.5,-7.7,2.3,0.0,3.2419,
1994-01-30,-2.8,-5.3,-0.2,0.0,2.0177,
1994-01-31,-0.3,-5.7,5.6,0.0,2.7338,
1994-02-01,0.2,-3.5,5.1,0.0,3.5623,
1994-02-02,0.6,-6.5,8.5,0.0,3.3386,
1994-02-03,2.0,-4.1,6.6,0.0,2.8682,
1994-02-04,2.6,-2.1,8.1,0.0,3.1222,
1994-02-05,3.8,-2.7,11.2,0.0,2.7739,
1994-02-06,4.4,-3.1,10.8,0.0,3.5585,
1994-02-07,2.5,-3.4,8.8,0.0,2.801,
1994-02-08,1.5,-1.6,5.9,0.0,3.7586,
1994-02-09,0.5,-3.8,6.4,0.0,3.7294,
1994-02-10,-0.9,-5.1,3.0,0.0,1.9099,
1994-02-11,-0.9,-2.4,1.8,3.6,1.3932,
1994-02-12,-1.3,-5.5,4.3,0.0,3.0202,
1994-02-13,-2.7,-3.8,-1.7,0.0,1.8149,
1994-02-14,-1.8,-3.1,-0.7,0.1,1.6951,
1994-02-15,-0.3,-2.7,3.0,1.3,3.8244,
1994-02-16,0.9,-4.7,9.1,0.0,4.2396,
1994-02-17,-0.3,-3.7,5.3,0.0,3.5203,
1994-02-18,0.1,-3.3,4.3,0.0,3.161,
1994-02-19,0.7,-2.3,4.7,0.0,2.6323,
1994-02-20,4.9,-0.6,9.1,0.0,4.1518,
1994-02-21,1.4,-4.1,5.9,0.0,4.0286,
1994-02-22,1.6,-2.8,6.9,0.0,3.515,
1994-02-23,0.1,-4.1,3.7,0.0,3.2736,
1994-02-24,0.7,-4.4,5.3,0.0,3.384,
